Date,Time,Month,Season,Site,Native_or_chestnut,Temp,pH,SpCond_uscm,DO_percent,DO_mgl,CHL_ugl,,,,,,,,,,,,
10/4/24,12:46:53,October,Fall,11,native,19.36,7.21,130,93.4,7.19,6.1,,,,,,,,,,,,
10/4/24,13:46:53,October,Fall,11,native,19.56,7.13,127,95.9,7.35,7.04,,,,,,,,,,,,
10/4/24,14:46:53,October,Fall,11,native,19.72,7.17,127,97.6,7.45,7.68,,,,,,,,,,,,
10/4/24,15:46:53,October,Fall,11,native,19.91,7.22,127,100.1,7.62,8.22,,,,,,,,,,,,
10/4/24,16:46:53,October,Fall,11,native,19.83,7.24,127,100.1,7.63,8.76,,,,,,,,,,,,
10/4/24,17:46:53,October,Fall,11,native,19.71,7.27,127,99.5,7.6,8.45,,,,,,,,,,,,
10/4/24,18:46:53,October,Fall,11,native,19.56,7.27,128,98.9,7.58,11.04,,,,,,,,,,,,
10/4/24,19:46:53,October,Fall,11,native,19.35,7.26,127,98.2,7.55,10.16,,,,,,,,,,,,
10/4/24,20:46:53,October,Fall,11,native,19.14,7.24,127,95.6,7.38,10.6,,,,,,,,,,,,
10/4/24,21:46:53,October,Fall,11,native,18.98,7.2,127,93.9,7.28,11.05,,,,,,,,,,,,
10/4/24,22:46:53,October,Fall,11,native,18.81,7.18,127,91.4,7.11,10.92,,,,,,,,,,,,
10/4/24,23:46:53,October,Fall,11,native,18.6,7.13,128,88.9,6.94,9.92,,,,,,,,,,,,
10/5/24,0:46:53,October,Fall,11,native,18.36,7.08,127,86.8,6.82,9.44,,,,,,,,,,,,
10/5/24,1:46:53,October,Fall,11,native,18.08,7.08,127,85.9,6.78,11.41,,,,,,,,,,,,
10/5/24,2:46:53,October,Fall,11,native,17.84,7.07,128,83.5,6.63,8.13,,,,,,,,,,,,
10/5/24,3:46:53,October,Fall,11,native,17.54,7.06,128,82,6.54,7.65,,,,,,,,,,,,
10/5/24,4:46:53,October,Fall,11,native,17.31,7.01,128,78.7,6.31,10,,,,,,,,,,,,
10/5/24,5:46:53,October,Fall,11,native,17.27,7.02,128,79.7,6.39,10.02,,,,,,,,,,,,
10/5/24,6:46:53,October,Fall,11,native,17.02,6.99,128,76.2,6.15,9.19,,,,,,,,,,,,
10/5/24,7:46:53,October,Fall,11,native,16.89,6.96,128,74.1,6,8.99,,,,,,,,,,,,
10/5/24,8:46:53,October,Fall,11,native,16.95,6.92,128,73.6,5.95,7.45,,,,,,,,,,,,
10/5/24,9:46:53,October,Fall,11,native,17.01,6.89,128,77.6,6.26,6.59,,,,,,,,,,,,
10/5/24,10:46:53,October,Fall,11,native,17.52,6.91,128,83.5,6.67,7.29,,,,,,,,,,,,
10/5/24,11:46:53,October,Fall,11,native,18.21,7,128,90.4,7.12,8.02,,,,,,,,,,,,
10/5/24,12:46:53,October,Fall,11,native,18.74,7.01,128,92.8,7.23,6.88,,,,,,,,,,,,
10/5/24,13:46:53,October,Fall,11,native,19.13,6.99,128,94.7,7.32,8.62,,,,,,,,,,,,
10/5/24,14:46:53,October,Fall,11,native,19.33,7.07,127,99,7.62,8.68,,,,,,,,,,,,
10/5/24,15:46:53,October,Fall,11,native,19.35,7.13,128,99.1,7.62,7.61,,,,,,,,,,,,
10/5/24,16:46:53,October,Fall,11,native,19.02,7.15,128,98.3,7.62,7.65,,,,,,,,,,,,
10/5/24,17:46:53,October,Fall,11,native,18.78,7.19,128,99.4,7.73,8.68,,,,,,,,,,,,
10/5/24,18:46:53,October,Fall,11,native,18.59,7.2,127,98.8,7.72,10.02,,,,,,,,,,,,
10/5/24,19:46:53,October,Fall,11,native,18.22,7.18,128,95.2,7.49,9.79,,,,,,,,,,,,
10/5/24,20:46:53,October,Fall,11,native,17.99,7.19,127,95.9,7.59,9.84,,,,,,,,,,,,
10/5/24,21:46:53,October,Fall,11,native,17.89,7.19,127,95.3,7.55,9.55,,,,,,,,,,,,
10/5/24,22:46:53,October,Fall,11,native,17.72,7.17,128,94.2,7.49,11.91,,,,,,,,,,,,
10/5/24,23:46:53,October,Fall,11,native,17.52,7.13,128,92.1,7.35,12.57,,,,,,,,,,,,
10/6/24,0:46:53,October,Fall,11,native,17.3,7.07,128,89.6,7.19,12.16,,,,,,,,,,,,
10/6/24,1:46:53,October,Fall,11,native,16.92,7.12,128,90.2,7.3,11.43,,,,,,,,,,,,
10/6/24,2:46:53,October,Fall,11,native,16.54,7.05,128,85.4,6.96,11.16,,,,,,,,,,,,
10/6/24,3:46:53,October,Fall,11,native,16.11,7.02,129,80.5,6.62,9.94,,,,,,,,,,,,
10/6/24,4:46:53,October,Fall,11,native,15.8,6.99,129,80.2,6.64,9.14,,,,,,,,,,,,
10/6/24,5:46:53,October,Fall,11,native,15.79,7.02,129,82.8,6.85,9,,,,,,,,,,,,
10/6/24,6:46:53,October,Fall,11,native,15.93,7.03,129,84.5,6.98,9.03,,,,,,,,,,,,
10/6/24,7:46:53,October,Fall,11,native,15.95,7.06,129,85.2,7.03,8.55,,,,,,,,,,,,
10/6/24,8:46:53,October,Fall,11,native,16.13,7.06,129,86.9,7.14,7.57,,,,,,,,,,,,
10/6/24,9:46:53,October,Fall,11,native,16.73,7.06,129,91.7,7.45,7.1,,,,,,,,,,,,
10/6/24,10:46:53,October,Fall,11,native,17.24,7.12,129,95.6,7.68,7.14,,,,,,,,,,,,
10/6/24,11:46:53,October,Fall,11,native,17.73,7.04,129,95.7,7.61,7.05,,,,,,,,,,,,
10/6/24,12:46:53,October,Fall,11,native,17.39,6.93,129,92.6,7.42,7.62,,,,,,,,,,,,
10/6/24,13:46:53,October,Fall,11,native,17.94,6.95,128,94.9,7.51,7.63,,,,,,,,,,,,
10/6/24,14:46:53,October,Fall,11,native,18.38,7.02,129,96.5,7.57,7.8,,,,,,,,,,,,
10/6/24,15:46:53,October,Fall,11,native,18.3,7.09,129,98.2,7.72,8.02,,,,,,,,,,,,
10/6/24,16:46:53,October,Fall,11,native,18.13,7.11,128,98.8,7.79,8.4,,,,,,,,,,,,
10/6/24,17:46:53,October,Fall,11,native,18.03,7.13,129,98.3,7.77,8.61,,,,,,,,,,,,
10/6/24,18:46:53,October,Fall,11,native,17.77,7.19,129,98.5,7.82,10.21,,,,,,,,,,,,
10/6/24,19:46:53,October,Fall,11,native,17.71,7.11,129,93.2,7.41,9.02,,,,,,,,,,,,
10/6/24,20:46:53,October,Fall,11,native,17.55,7.12,128,93.8,7.49,10.06,,,,,,,,,,,,
10/6/24,21:46:53,October,Fall,11,native,17.43,7.15,128,96.1,7.69,9.75,,,,,,,,,,,,
10/6/24,22:46:53,October,Fall,11,native,17.34,7.09,128,93.8,7.52,9.33,,,,,,,,,,,,
10/6/24,23:46:53,October,Fall,11,native,17.13,7.05,128,91.9,7.39,8.99,,,,,,,,,,,,
10/7/24,0:46:53,October,Fall,11,native,16.97,7.03,129,90.8,7.34,8.82,,,,,,,,,,,,
